projectKey,to_be_removed
kulinskyvs_demolot,1
avans.ivh11.mart:demo,1
com.hangzilla.demos:demo-java,1
org.sonarqube:adapter-server,1
ca.on.oicr.gsi:shesmu-plugin-niassa_pinery,1
org.osc.plugin:security-mgr-sample-plugin,1
library-management-system,1
cizezsy_code-coverage-api-plugin,1
clmdemo,1
sonia.scm.plugins:scm-jira-plugin,1
com.example:rss-parent,1
io.earcam.maven:io.earcam.maven.plugin,1
mickknutson_spring_integration_course,1
com.github.searls:jasmine-maven-plugin,1
fr.mougnibas.cook-helper:cook-helper,1
com.ca.apim.gateway:gateway-developer-plugin:feature/multi-project,1
Wadeck_config-file-provider-plugin,1
Vallinox_frontend-maven-plugin,1
effective-java-examples:effective-java-examples,1
zhiwei1990_android-jetpack-demo,1
ua.softserve.academy.kv030:auth-service:demo,1
com.talanlabs:sonar-gitlab-plugin,1
fr.techad:sonar-gerrit-plugin,1
ua.softserve.academy.kv030:auth-service:jwt_example,1
net.sf.xtext-jbase:jbase.releng:sonarcloud,1
org.sonarqube:service-server-configuration-profile,1
com.djrapitops:rom-tools,1
com.epam:spring-advanced-course,1
org.codehaus.sonar-plugins.swagger:swagger,1
org.sonarqube:service-device-discovery,1
commons-dbutils:commons-dbutils,1
vijayvani_portlet-utils,1
Wadeck_mesos-plugin,1
org.ligoj.plugin:plugin-bt-jira,1
com.github.spotbugs:sonar-findbugs-plugin:stabilize-build,1
org.sonarsource.sonar-findbugs-plugin:sonar-findbugs-plugin:stabilize-build,1
demoJIHP,1
Panbo362472407_gam-demo,1
org.codehaus.sonar-plugins.json:json,1
com.com.basaki.example:adt-algo-example,1
com.basaki.example:adt-algo-example,1
com.github.spotbugs:sonar-findbugs-plugin:run-sonar-in-master-branch,1
edelta:edelta.parent:sonarcloud,1
at.porscheinformatik.sonarqube.licensecheck:sonarqube-licensecheck-plugin,1
uk.gov.justice.utils:test-utils-parent,1
net.paissad.tools.reqcoco:reqcoco-parent,1
net.paissad.tools.reqcoco:reqcoco-parent:master,1
Wadeck_sonarqube-plugin,1
org.fuin:utils4j,1
vijayvani_utils4j,1
deors.demos:petclinic,1
sem-project:sonarcloud-automation,1
californium.tools_180410,1
com.cimb.vietnammobile:vietnammobile-tools,1
org.examdesigner:exam-designer,1
io.reactiverse:vertx-maven-plugin,1
com.example.javacart:jcartspringboot,1
org.onebeartoe.development.tools:onebeartoe-development-tools-parent,1
org.codehaus.sonar-plugins.jproperties:jproperties,1
Wadeck_junit-plugin,1
org.ddbstoolkit.toolkit:ddbstoolkit-root,1
sit:OEBnaja:demo,1
io.bitsensor.plugins:bitsensor-plugin,1
Vallinox_maven-shade-plugin,1
ir.iais.utilities:java-utils,1
com.jongsoft.utils:highchart-parent,1
sonarqubew:bottle-android,1
com.vip.vjtools:vjkit,1
hitogo-library,1
com.cg.sedp.library:library,1
org.demoiselle.jee:demoiselle-build,1
sonar-intellij-plugin,1
si.laurentius.plugin.meps:Laurentius-meps-plugin,1
org.springframework.boot:spring-boot-devtools,1
com.ca.apim.gateway:gateway-export-plugin,1
com.commercetools:commercetools-sync-java,1
io.earcam:io.earcam.utilitarian,0
com.celfocus.omnichannel.telco.plugins.modules:analytics,1
de.swoeste.demo:demo-gen-alg,1
msoute_vertx-deploy-tools,1
com.iadams.sonarqube:sonar-puppet,1
com.oxygenxml.cmis:cmis.plugins,1
de.hhu.stups.bsynthesis,1
org.sonarqube:adocoes-android,1
org.weasis:weasis-dicom-tools,1
io.vertigo.chroma:kspplugin-main,1
com.racodond.sonarqube.plugin.gherkin:gherkin,1
com.microsoft.example:myshuttleJAVA,1
ii-commons-util,1
com.microsoft.example:myshuttle:master,1
io.github.vocabhunter:vh-sandbox:sonarqube,1
io.github.vocabhunter:vh-sandbox:sonarqube2,1
com.jgcomptech.tools:java-ultimate-tools,1
com.gitlab.atomfrede.jhipster.pipeline.example:jhigitlabpipeline,1
org.openstreetmap.josm.plugins:Mapillary,1
com.gitlab.atomfrede.jhipster.pipeline.mvn.example:jhigitlabmvnpipeline,1
com.example.todolist:todo-list,1
org.ponderers.commons:commons-util,1
org.delphi.plugin:sonar-delphi-plugin,1
com.github.bingoohuang:java-utils,1
org.jenkins-ci.plugins:cloudbees-bitbucket-branch-source,1
spring-data-document-examples_180410,1
mickknutson_spring_batch_course,1
mosby:sonarqubeintegration,1
cn.oneayst:springmvc-shiro-react-redux-restful-example,1
de.schrieveslaach.nlpf:feature-sonarqube-plugin-skeleton,1
com.thoughtworks.go:gocd:go-plugin-access,1
edutilos6666_ControlFXTest,1
tomcat-maven-plugin_180410,1
exampleProject,1
vijayvani_recurly-java-library,1
com.molinari:utility,1
com.demo:registration,1
spring-insight-plugins_180410,1
matsgemmeke_battlegrounds-plugin,1
com.ca.apim.gateway:gateway-developer-plugin,1
com.mescourses:gateway,1
org.ietr.dftools:org.ietr.dftools.parent,1
org.ietr.dftools:org.ietr.dftools.parent:v2.0.0,1
jtabarescondorlabs_sonarqube,1
cn.yinguowei.demo:human-resources,1
azure-devops-demos-deepspace,1
com.gcek.clf.tool:clftool,1
samtools,1
com.xxx:examSystem,1
org.sonarqube:sonarqube-scanner-ant,1
docker-maven-plugin,1
skilltool-api:legacy,1
org.ietr.dftools:org.ietr.dftools.parent:v1.3.0,1
org.ietr.dftools:org.ietr.dftools.parent:v1.4.0,1
org.ietr.dftools:org.ietr.dftools.parent:v1.5.0,1
org.ietr.dftools:org.ietr.dftools.parent:v1.6.0,1
org.ietr.dftools:org.ietr.dftools.parent:v1.7.0,1
org.ietr.dftools:org.ietr.dftools.parent:v1.7.4,1
org.ietr.dftools:org.ietr.dftools.parent:v1.8.2,1
ninja.egg82.lib:plugin-lib-parent,1
org.ietr.dftools:org.ietr.dftools.parent:v1.9.0,0
com.intenso.jira.plugins:jsd-extender,1
plexus-utils_180410,1
vijayvani_functional-utils,1
skilltool-api,1
org.owasp.webgoat.lesson:webgoat-plugins-parent,1
velocity-tools_180410,1
budgeteer-sonarcloud,1
org.mobicents.tools:sip-balancer:master,0
org.apache.samza:travis-sonarcloud,1
uk.gov.justice.services:microservice-framework:update-test-utils-master,0
org.apache.samza:sonarcloud-base,1
org.apache.samza:sonarcloud,1
ninja.egg82.plugins:TrollCommandsPlusPlus,0
eu.europa.ec.fisheries.uvms.plugins.flux.sales:flux-sales-plugin:PR,1
eu.europa.ec.fisheries.uvms.plugins.flux.sales:flux-sales-plugin,1
eu.europa.ec.fisheries.uvms.plugins:flux-sales-plugin,1
demosimple,1
org.codehaus.sonar-plugins.css:css,1
eu.tango:code-profiler-plugin,1
org.sonarqube:wsmanlib,1
org.sonarqube:sonarqube-scanner-sqoop,0
org.openapitools:openapi-generator-project,1
co.cask.hydrator:hydrator-plugins,1
jkopriva_jbosstools-openshift,1
org.drools:droolsjbpm-tools,1
zxiiro_yangtools,1
org.eclipse.vorto:vorto-eclipse-plugin,0
jkopriva_jbosstools-server,1
linuxtools_180410,1
odftoolkit_180410,1
uk.ac.bbsrc.tgac.miso:miso:sonarqube_pr_updater,1
android_demo,1
Android-demo,1
,499
