key,bugs, classes, code_smells, comment_lines, comment_lines_density, confirmed_issues, directories, duplicated_blocks, duplicated_lines, duplicated_lines_density, false_positive_issues, files, functions, lines, ncloc, ncloc_language_distribution, open_issues, reliability_rating, reliability_remediation_effort, reopened_issues, security_rating, sqale_debt_ratio, sqale_index, sqale_rating, violations, vulnerabilities
com.quinfra.anime:anime,6,62,6,289,5.7,0,42,0,0,0,0,104,292,6238,4806,java=2779;web=1847;xml=180,12,3,0,0,1,0,60,1,12,0
de.jakop:ngcalsync,31,55,146,584,17.1,0,17,0,0,0,2,46,297,5839,2835,java=2572;xml=263,177,5,415,0,1,0.9,725,1,177,0
org.springframework.boot:krogrouletten-backend,6,6,8,20,3.2,0,7,0,0,0,0,7,7,689,605,java=221;xml=384,14,3,90,0,1,0.3,53,1,14,0
com.opsbears.webcomponents:dic,3,12,15,104,18.5,0,1,0,0,0,0,12,45,745,458,java=458,18,2,24,0,1,2,272,1,18,0
com.ups.yams:backend,0,1,1,0,0,0,2,0,0,0,0,2,1,86,70,java=9;xml=61,1,1,0,0,1,1.4,30,1,1,0
com.altpro:demo,0,5,2,0,0,0,4,0,0,0,0,5,11,177,141,java=69;xml=72,2,1,0,0,1,0.2,10,1,2,0
com.github.elizeuborges:gerenciador-de-termos,0,11,1,3,0.8,0,2,0,0,0,0,12,30,485,367,java=246;xml=121,1,1,0,0,1,0,2,1,1,0
com.example:SM,4,18,34,68,7.7,0,5,8,154,12.9,0,19,92,1194,820,java=744;xml=76,40,3,35,0,2,1,244,1,40,2
nl.avans.ivh11.a2b:proftaak,14,82,129,668,17.8,0,20,9,297,5.8,0,83,320,5093,3087,java=3002;xml=85,139,3,117,5,5,1,898,1,144,1
edu.avans.ivh11b1:athena:develop,0,50,42,161,8,0,10,2,26,1,0,48,242,2656,1844,java=1719;xml=125,42,1,0,0,1,0.6,318,1,42,0
questionmark,37,49,143,213,7,0,16,24,360,9,0,69,155,3986,2831,java=1391;js=368;web=1072,191,5,245,0,2,1.3,1146,1,191,11
com.pnunes.sabproxy:sabproxy,19,7,37,60,9.7,0,2,0,0,0,0,8,36,742,561,java=471;xml=90,63,5,165,0,2,1.5,252,1,63,7
com.miltrex.treaker:ant-treaker,10,11,52,23,5.6,0,8,2,40,7.7,0,12,19,522,385,java=308;xml=77,65,5,65,0,2,2.9,330,1,65,3
ochoreinas,1,4,4,13,11.5,0,1,0,0,0,0,2,10,144,100,java=100,5,5,30,0,1,1,30,1,5,0
org.fujitsu.nephology:nephology:sonar-branches-test,0,5,4,2,1,0,2,0,0,0,0,6,12,235,189,java=93;xml=96,4,1,0,0,1,0.4,25,1,4,0
arthoria-app,187,196,375,1580,14.1,0,34,126,944,6.4,7,232,729,14746,9595,java=8152;xml=1443,565,5,1795,0,2,1.9,5533,1,565,3
fr.heffebaycay.sts:twitter-bot,27,15,36,18,2.1,0,10,0,0,0,0,15,58,1132,860,java=712;xml=148,67,5,437,0,2,1.3,333,1,67,4
MarketCustomisable,10,72,46,292,11.6,0,33,4,140,3.3,0,73,301,4210,2232,java=1957;xml=275,59,5,85,0,2,1.6,1061,1,59,3
com.dgladyshev.dead-code-detector:v2_experimental_neo4j,0,36,28,65,5.1,0,9,0,0,0,0,36,88,1586,1222,grvy=21;java=1201,28,1,0,0,1,0.4,139,1,28,0
org.apache.flume:flume-parent,819,696,2823,7606,13,0,96,279,4230,5.4,0,447,4070,78764,51063,java=47874;xml=3189,3779,5,9188,0,5,1.5,22222,1,3779,137
ua.mogylin.test:travis-builds-test,0,1,1,0,0,0,2,0,0,0,0,2,1,82,68,java=9;xml=59,1,1,0,0,1,1.5,30,1,1,0
uk.co.ichini:base-converter,0,1,2,7,3.1,0,2,0,0,0,0,2,17,266,219,java=151;xml=68,2,1,0,0,1,0.2,12,1,2,0
net.sf.emustudio:emustudio-parent,491,414,2316,2640,6.7,0,104,150,2652,5,0,393,2760,53070,36560,java=34640;xml=1920,2848,5,6744,0,2,2,22252,1,2848,41
coursegradle,0,3,0,0,0,0,2,0,0,0,0,3,6,47,35,java=35,0,1,0,0,1,0,0,1,0,0
cursoGradle,0,3,0,0,0,0,2,0,0,0,0,3,6,54,33,java=33,0,1,0,0,1,0,0,1,0,0
de.roskenet:springboot-javafx-support,3,7,17,58,9.7,0,2,0,0,0,0,8,45,768,542,java=389;xml=153,20,3,30,0,1,0.6,103,1,20,0
ConversationsRoot,584,293,1110,598,0.9,0,77,18,322,0.5,0,313,2712,69208,63166,java=39184;xml=23982,1789,5,5981,0,5,0.8,15927,1,1789,95
cursogradle,0,3,0,0,0,0,2,0,0,0,0,3,6,48,33,java=33,0,1,0,0,1,0,0,1,0,0
com.dgladyshev.dead-code-detector,0,36,25,73,5.8,0,9,0,0,0,0,36,86,1561,1192,grvy=23;java=1169,25,1,0,0,1,0.4,131,1,25,0
com.nwta:Example_project,0,1,22,0,0,0,2,6,87,57.6,0,2,1,151,147,java=134;xml=13,22,1,0,0,1,6.8,299,2,22,0
com.mycompany:SymulatorDrogi,2,6,14,2,0.9,0,2,2,30,10.3,0,7,20,292,220,java=193;xml=27,17,4,40,0,2,5.1,338,2,17,1
com.student:mavenproject2,3,4,24,20,5.6,0,2,0,0,0,0,5,19,403,337,java=324;xml=13,31,5,55,0,2,3.6,366,1,31,4
mimqip-treatment-service,2,78,22,99,4.5,0,16,0,0,0,0,69,207,2976,2083,java=1853;xml=230,49,3,30,0,2,0.2,96,1,49,25
Wallet:app,2,7,25,15,3.7,0,4,0,0,0,0,14,27,529,387,java=295;xml=92,27,3,30,0,1,1.1,132,1,27,0
Coffeina:app,0,4,2,12,5.7,0,5,0,0,0,0,12,9,242,197,java=110;xml=87,3,1,0,0,2,4.6,271,1,3,1
MyCrossyRoad,0,63,13,232,10.6,0,30,0,0,0,0,59,195,2966,1965,java=1965,13,1,0,0,1,0.2,131,1,13,0
library:library,17,15,33,95,11.6,0,9,3,48,4.7,0,16,93,1016,727,java=691;xml=36,67,3,170,0,2,0.6,128,1,67,17
SonarQube,1,2,14,18,14.1,0,1,0,0,0,0,2,9,167,110,java=110,15,2,15,0,1,10.5,345,3,15,0
MiMQIP,0,56,150,1379,41.1,0,13,0,0,0,0,46,178,4435,1979,java=1621;xml=358,173,1,0,0,2,1.2,716,1,173,23
santam.apps:dms-ejb,318,375,1030,3206,14.5,0,88,65,2261,7.5,0,369,2338,30184,18874,java=18874,1430,5,3995,0,5,1.1,5974,1,1430,82
EvidentaStudentilor2,9,15,38,46,3.2,0,7,14,373,19.7,0,28,45,1896,1412,java=957;xml=455,63,3,95,0,2,2,844,1,63,16
pl.estrix:currency-downloader,14,14,106,55,4.4,0,9,2,144,9.4,0,15,69,1540,1204,java=964;xml=240,160,4,150,0,2,2.5,902,1,160,40
com.learn:sample,0,7,2,12,4.8,0,5,0,0,0,0,8,19,320,238,java=152;xml=86,2,1,0,0,1,0.5,35,1,2,0
com.example.geekshubs:code-reviews:new-void-feature,0,2,9,0,0,0,2,0,0,0,0,3,2,83,66,java=21;xml=45,9,1,0,0,1,5.9,116,2,9,0
com.chinni:TestSonar,0,1,1,1,5.6,0,2,0,0,0,0,2,4,125,17,java=17,1,1,0,0,1,2,10,1,1,0
com.miltrex.treaker:ant-treaker:develop,19,19,55,26,3.8,0,12,2,40,4.8,0,20,30,842,652,java=501;xml=151,81,5,155,0,2,1.9,376,1,81,7
com.ifactorconsulting.notifi:notifi,1787,2213,5644,22059,12.1,0,420,425,12278,5,0,2287,17149,243146,160176,java=90121;js=57541;web=11038;xml=1476,7528,5,20603,1,5,0,56679,1,7529,98
Kuat,49,19,122,22,0.5,0,15,13,1570,32.5,0,20,126,4832,4409,grvy=217;java=746;js=148;web=1826;xml=1472,183,3,470,0,2,0.8,1009,1,183,12
RelevantXKCD,0,22,33,70,5.9,0,6,2,36,2.4,0,41,110,1488,1112,java=776;xml=336,33,1,0,0,1,1.8,587,1,33,0
health:backend,0,50,2,5,0.4,0,13,2,30,1.7,0,53,75,1771,1405,java=1186;xml=219,2,1,0,0,1,0.1,40,1,2,0
ru.serdyuk:lombok-mockito,0,2,0,0,0,0,3,0,0,0,0,3,2,83,63,java=17;xml=46,0,1,0,0,1,0,0,1,0,0
com.krzysztofziomek:supermarket,0,25,0,50,10.4,0,6,0,0,0,0,25,63,756,433,java=433,0,1,0,0,1,0,0,1,0,0
werthersechte-github:mrServer,66,114,695,290,4,0,50,14,337,3,0,113,634,11151,7036,java=6967;xml=69,769,5,1150,0,2,2.3,4907,1,769,8
tdworld,0,36,113,26,1.6,0,20,0,0,0,10,42,166,1990,1606,java=1539;xml=67,113,1,0,0,1,3.2,1532,1,113,0
com.processpuzzle.fitnesse:fit-print,15,14,22,156,10.9,0,8,0,0,0,0,15,68,1693,1278,java=613;xml=665,41,3,195,0,2,0.6,233,1,41,4
br.com.hyperclass.librarymanager:librarymanager,6,81,36,444,17.6,0,22,0,0,0,0,81,252,4087,2080,java=1942;xml=138,42,4,145,0,1,3.1,1917,1,42,0
pizza,12,25,99,1042,25.1,0,10,2,22,0.4,0,28,273,5216,3114,java=894;js=2206;web=14,113,3,142,0,2,1.4,1347,1,113,2
mimqip-patient-service,0,61,1881,296,0.4,0,12,5403,41555,57.8,0,47,255,71918,70580,java=2160;plsql=68115;xml=305,1904,1,0,0,2,0,203,1,1904,23
net.trajano.wagon:wagon-git,0,8,12,185,15.4,0,3,0,0,0,0,11,44,1495,1014,java=676;xml=338,13,1,0,0,2,0.1,41,1,13,1
ua.mogylin:expenses-loader,0,2,1,0,0,0,3,0,0,0,0,3,7,136,110,java=39;xml=71,1,1,0,0,1,0.9,30,1,1,0
com.grott:tabletennis-tournament,1,25,3,87,7.3,0,8,2,39,2.5,0,26,140,1553,1108,java=1025;xml=83,4,2,10,0,1,0.1,46,1,4,0
com.mycompany:projectZIIBD,15,8,220,117,8.4,0,2,6,58,3.6,0,9,44,1618,1274,java=1261;xml=13,244,5,135,0,5,6.4,2439,2,244,9
com.arturo:jm2-api,0,46,12,6,0.5,0,18,0,0,0,0,47,159,1721,1254,java=1179;xml=75,12,1,0,0,1,0.1,51,1,12,0
com.example:parent,0,7,0,12,2.9,0,5,0,0,0,0,10,27,521,403,java=246;xml=157,0,1,0,0,1,0,0,1,0,0
com.yfengchan:SpringBoot-Sample,2,10,3,12,2.5,0,5,0,0,0,0,11,57,619,464,java=374;xml=90,5,4,60,0,1,0.3,45,1,5,0
com.mycompany:randomApplication,4,5,63,2,0.5,0,2,0,0,0,0,6,33,515,414,java=401;xml=13,68,2,40,0,5,2.1,257,1,68,1
com.sonarqube.navent-test,0,17,17,29,6.2,0,9,0,0,0,0,17,55,645,439,java=439,17,1,0,0,1,0.7,88,1,17,0
org.jaxygen:jaxygen-project,48,220,446,1091,11.2,0,70,2,28,0.2,0,219,859,14696,8634,java=6520;js=1453;web=48;xml=613,532,5,721,0,4,1.4,3704,1,532,38
com.mycompany:libraryProject,9,5,41,10,2.4,0,3,0,0,0,0,6,15,510,401,java=388;xml=13,59,2,90,0,5,1.5,180,1,59,9
Dagobah,74,11,52,128,7.1,0,21,5,161,7.6,0,38,85,2125,1672,grvy=162;java=297;js=245;web=803;xml=165,128,5,592,0,2,0.6,280,1,128,2
com.idea1.app:idea1-app,0,13,14,15,2.8,0,13,0,0,0,0,16,46,700,525,java=412;xml=113,14,1,0,0,1,0.5,85,1,14,0
sit:test:p1,21,14,222,270,15.3,0,1,0,0,0,0,14,119,2122,1500,java=1500,269,5,145,0,5,3.2,1433,1,269,26
sit:int206:Eprint:dummy,15,16,55,205,20.2,0,3,13,342,24.2,0,16,72,1412,810,java=810,75,5,105,0,5,2.7,645,1,75,5
sit:int206:around:Dummy,9,8,226,186,14.2,0,3,2,70,4.9,0,8,72,1442,1126,java=1126,240,5,65,0,5,6,2024,2,240,5
sit:int206:facility,12,13,322,288,12.2,0,2,2,32,1.3,0,13,181,2476,2068,java=2068,341,5,275,0,2,5.6,3450,2,341,7
sit:int206:kanwnin,26,23,618,509,13.8,0,3,21,382,9.4,0,23,176,4074,3173,java=3173,653,5,200,0,5,7.6,7264,2,653,9
sit:int206:KMUTTRMS:Dummy,0,18,119,245,17.2,0,3,7,161,8.8,0,18,127,1821,1182,java=1182,121,1,0,0,2,3.8,1353,1,121,2
sit:int206:Eway,25,19,569,550,16.3,0,4,37,635,16.4,0,20,140,3873,2828,java=2815;xml=13,597,5,285,0,5,7,5907,2,597,3
sit:int206:AroundKmuttp,9,8,224,186,14.2,0,3,2,70,4.9,0,8,72,1442,1124,java=1124,238,5,65,0,5,6,2020,2,238,5
sit:int206:AroundK:Dummy,9,8,226,186,14.2,0,3,2,70,4.9,0,8,72,1442,1126,java=1126,240,5,65,0,5,6,2024,2,240,5
sit:int206:TimeTable:Dummy,10,11,148,113,8.6,0,3,2,38,2.5,0,11,75,1529,1195,java=1195,157,5,60,1,1,6.9,2463,2,158,0
org.springframework.boot:spring-boot-sample-web-ui,3,18,16,31,5.9,0,6,0,0,0,0,19,32,739,495,java=425;xml=70,19,3,35,0,1,0.9,136,1,19,0
sit:int206:Korrow_RentBorrow:Dummy,73,25,1082,1199,19.1,0,1,64,1150,15.6,0,25,329,7358,5079,java=5079,1205,5,482,0,5,6.7,10149,2,1205,50
ketaro16-github:Facility-Management,11,13,321,288,12.2,0,2,2,32,1.3,0,13,180,2468,2067,java=2067,339,5,260,0,2,5.6,3445,2,339,7
cm.xd:ttyrec2video,55,44,706,2547,29.9,0,2,10,125,1.3,0,31,381,9456,5961,java=5920;xml=41,764,3,668,0,2,2.9,5158,1,764,3
sit:int206:PublicizeHUB:Club:Dummy,19,42,579,459,8.7,0,3,10,220,3.5,0,41,229,6263,4796,java=4796,661,3,240,0,5,3.6,5230,1,661,63
sit:int206:Mykmutt:Report,7,5,12,51,13.9,0,3,2,80,16.4,0,5,34,488,315,java=315,22,5,35,0,5,1.1,106,1,22,3
sit:int206:HAHO:Booking:Hahob,15,15,432,400,12.6,0,3,22,380,10.8,0,15,161,3510,2763,java=2763,466,5,150,0,5,7.2,5953,2,466,19
sit:int206:Santex:Exercise:Plan,71,16,340,195,7.6,0,1,8,311,10.3,0,16,137,3023,2366,java=2366,422,5,900,0,5,7.9,5595,2,422,11
sit:int206:HahoApp:Webboard:ttouchme,13,7,277,221,14.7,0,1,15,476,27.5,0,7,43,1731,1280,java=1280,293,5,100,0,2,8.6,3302,2,293,3
sit:int206:reviews,9,8,88,68,11.3,0,1,2,13,1.8,0,8,93,724,532,java=532,97,5,105,0,1,4.2,677,1,97,0
sit:int206:MatchGame2,36,16,344,575,18.8,0,2,21,430,13.3,0,16,103,3224,2490,java=2490,381,5,253,0,2,7.3,5424,2,381,1
sit:int206:HAHO:Booking,15,15,432,400,12.6,0,3,22,380,10.8,0,15,161,3510,2763,java=2763,466,5,150,0,5,7.2,5953,2,466,19
sit:int206:korrow:sun,59,7,77,92,9.5,0,1,6,67,6.5,0,7,60,1024,881,java=881,183,5,435,0,5,3.6,940,1,183,47
