key,bugs, classes, code_smells, comment_lines, comment_lines_density, confirmed_issues, directories, duplicated_blocks, duplicated_lines, duplicated_lines_density, false_positive_issues, files, functions, lines, ncloc, ncloc_language_distribution, open_issues, reliability_rating, reliability_remediation_effort, reopened_issues, security_rating, sqale_debt_ratio, sqale_index, sqale_rating, violations, vulnerabilities
org.junit.jupiter:junit5,105,318,290,4713,25.9,0,36,4,92,0.3,0,329,1801,28354,13479,grvy=291;java=13188,395,3,1385,0,1,0.5,2180,1,395,0
SPOTIFY_SUGGESTER,0,32,1,52,4.3,0,7,0,0,0,0,30,142,1581,1163,java=1148;xml=15,1,1,0,0,1,0,1,1,1,0
com.tgroup:tblog,0,2,3,1,4,0,2,0,0,0,0,2,2,36,24,java=24,2,1,0,1,1,0,40,1,3,0
cl.liberty.printer.camel:FilePrinter,5,9,8,3,0.6,0,9,0,0,0,0,10,20,574,469,java=342;xml=127,13,5,47,0,1,0.3,45,1,13,0
target-core,676,7,680,1596,8,0,18,37,710,2.7,0,119,464,25847,18445,c=17625;java=308;py=510;web=2,1383,5,6725,0,4,2.1,11523,1,1383,27
TINDER_WEBAPP,12,37,72,56,4.3,0,8,0,0,0,0,35,151,1668,1233,java=1233,84,4,360,0,1,4.4,1626,1,84,0
mx.com.qbe:EAS-WebApp-OVirtual,628,349,1104,1555,4.3,0,26,177,3438,7.5,0,389,2587,45724,34924,java=26251;js=26;web=8157;xml=490,1769,5,9717,0,4,1.1,11442,1,1769,37
mx.com.qbe:eas-digital-ejb,137,96,302,2968,32.5,0,8,88,6815,49.8,0,98,760,13696,6152,java=5925;xml=227,531,5,1467,0,2,1.5,2687,1,531,92
mx.com.qbe:eas-oficina_virtual-ejb,25,31,154,699,19.7,0,6,30,501,10.8,0,34,183,4649,2846,java=2711;xml=135,185,5,274,0,5,1.8,1496,1,185,6
mx.com.qbe:eas-oficina_virtual-rest,16,10,96,71,4.6,0,2,15,136,7.6,0,11,51,1778,1458,java=1349;xml=109,113,3,167,0,2,2.2,949,1,113,1
com.wavefront:wavefront,245,171,537,1212,9,0,32,8,167,1,0,137,803,16437,12186,java=11612;xml=574,806,5,2934,0,2,1.3,4600,1,806,24
es.itg.ibpro2search:search-engine,0,68,451,625,10.6,0,41,0,0,0,13,69,391,7215,5246,java=4671;xml=575,461,1,0,0,2,1.9,3015,1,461,10
mx.neftaly:demo,0,1,2,0,0,0,2,0,0,0,0,2,1,78,64,java=9;xml=55,2,1,0,0,1,1.7,32,1,2,0
ScottHensen:sup-microsvc,0,2,2,1,3.7,0,1,0,0,0,0,2,2,38,26,java=26,2,1,0,0,1,0.6,5,1,2,0
fr.howee:howee-parent,46,101,261,110,2.1,0,74,61,1438,21.1,0,113,425,6810,5141,java=4142;xml=999,314,4,567,0,5,1.3,2045,1,314,7
de.rkraneis.projecteuler:projecteuler-aggregator,6,5,105,56,6.4,0,8,0,0,0,0,9,45,1021,822,java=267;xml=555,113,2,30,0,2,1.1,282,1,113,2
TestSpark:0.0.1:arko/db-wip,8,11,64,15,5,1,5,0,0,0,0,12,28,376,288,java=244;xml=44,70,5,70,1,1,0,380,1,72,0
org.sonar_repo:sonar_project,1,1,10,1,2.8,0,2,0,0,0,0,2,1,45,35,java=9;xml=26,11,3,20,0,1,3.8,40,1,11,0
ro.isr:devschool-3,0,19,41,48,10.1,0,7,0,0,0,0,21,42,685,427,java=391;xml=36,41,1,0,0,1,3,390,1,41,0
android-client-androidstudio,98,311,587,960,5.4,0,32,100,1255,5.3,0,231,1891,23881,16706,java=16706,724,5,939,0,5,1.2,5975,1,724,39
padariaX,14,28,92,255,14.4,0,5,7,72,2.8,0,28,201,2563,1512,java=1512,108,5,165,0,2,1.9,859,1,108,2
com.dmytro:com.dmytro.app,0,1,4,0,0,0,1,0,0,0,0,1,1,9,5,java=5,4,1,0,0,1,36.7,55,4,4,0
solace-server,343,249,1333,342,2.1,0,80,333,1213,6.2,0,258,1189,19677,16248,java=12498;plsql=3614;xml=136,2190,4,4209,0,2,1.1,5590,1,2190,514
ar.edu.itba.paw:paw-webapp,0,7,0,12,3.2,0,13,0,0,0,0,13,19,442,362,java=161;xml=201,1,1,0,0,4,0,0,1,1,1
com.theundertaker11.geneticsreborn:forge-genetics-1.10.2,84,106,1371,598,8.2,0,24,125,2644,30.3,0,92,442,8732,6653,java=6653,1641,3,882,0,2,3.9,7830,1,1641,186
base-converter,0,2,20,11,2.9,0,3,0,0,0,0,3,37,447,373,java=304;xml=69,20,1,0,0,1,0.8,89,1,20,0
MethodNotCalled,0,1,2,0,0,0,1,0,0,0,0,1,4,27,19,java=19,2,1,0,0,1,1.8,10,1,2,0
br.com.cassus:home-planner,0,16,6,0,0,0,12,0,0,0,0,17,62,680,532,java=423;xml=109,6,1,0,0,1,0.3,55,1,6,0
org.apache.maven.plugins:maven-plugins-aggregator:trajano-linkcheck,9,3,24,247,16.3,0,2,0,0,0,0,4,39,1864,1272,java=1049;xml=223,34,5,64,0,2,0.6,244,1,34,1
org.apache.maven.doxia:doxia-tools-aggregator:trajano-fork,16,15,31,572,29.7,1,3,0,0,0,0,16,90,2575,1356,java=1204;xml=152,46,5,200,0,1,0.7,276,1,47,0
fr.algofi.maven.plugins.polymer-minifier,27,27,54,396,21.6,0,4,2,80,3.1,0,27,117,2556,1441,java=1441,81,3,175,0,1,0.8,338,1,81,0
kplapi,419,938,402,1928,3.7,0,127,117,2509,3.7,0,916,3774,67460,49671,grvy=48323;java=1348,840,3,3987,0,2,0.4,5718,1,840,19
ahmedmgamal.trips,437,35,1522,969,9.8,0,28,221,2310,21.1,0,59,502,10947,8922,java=6237;plsql=115;xml=2570,1966,3,7035,0,4,3,7949,1,1966,7
ProjectManagementSystem,2,43,55,17,1,0,12,0,0,0,0,48,148,2025,1639,java=1326;plsql=248;xml=65,57,3,30,0,1,1.1,545,1,57,0
PizzeriaDemoPolite,13,15,28,5,1.1,0,7,0,0,0,0,15,54,567,453,java=453,43,3,250,0,2,2.7,370,1,43,2
gpigvalidator:master,1,14,2,57,12,0,4,0,0,0,0,13,53,612,419,java=419,3,3,10,0,1,0.1,10,1,3,0
org.rulez.magwas.zenta:parent,532,958,5331,17437,22.7,0,94,203,3746,3.6,0,828,5771,102788,59447,java=59447,6032,5,5808,0,2,3.6,64697,1,6032,169
works-controller-android,0,13,1,138,23.6,0,2,0,0,0,0,9,73,858,447,java=447,1,1,0,0,1,0,2,1,1,0
com.graphql-over-sql:parent,2,112,42,44,0.9,0,25,0,0,0,0,116,467,5898,4657,java=4140;xml=517,44,3,35,0,1,0.2,336,1,44,0
com.kinancity:KinanCity-parent,38,63,96,354,12.6,0,28,0,0,0,0,67,191,4012,2454,java=2151;xml=303,155,5,450,0,5,1.3,927,1,155,21
com.app:tennis,34,57,88,94,3.1,0,13,32,352,9.2,0,61,285,3836,2958,java=2205;js=305;web=88;xml=360,123,5,505,0,4,0.9,757,1,123,1
com.help:java-memo,2,5,1,6,2.1,0,4,0,0,0,0,6,31,375,285,java=244;xml=41,3,5,10,0,1,0.1,5,1,3,0
org.dresign:ddd,21,63,110,5,0.3,0,23,2,30,1.2,0,66,174,2476,1894,java=1603;web=7;xml=284,148,4,360,0,2,1.2,662,1,148,17
org.sonarqube:example-java-maven,0,1,1,0,0,0,1,0,0,0,0,1,2,14,10,java=10,1,1,0,0,1,3.3,10,1,1,0
us.dot.its.jpo.ode:jpo-ode:ode-217_travisTest,0,228,387,322,3.4,0,22,8,169,1.3,0,193,1193,12542,9240,java=9058;xml=182,387,1,0,0,1,0.7,2005,1,387,0
elenadeborahpetra:elenadeborahpetra,92,44,480,1125,23.4,0,12,26,342,5.4,0,54,298,6385,3678,java=3659;xml=19,578,4,839,0,2,3.8,4232,1,578,6
kamalalaurabritt:kamalalaurabritt,131,28,216,470,14.2,0,5,4,53,1.2,0,29,237,4365,2832,java=2813;xml=19,395,3,1270,0,2,2.4,2004,1,395,48
lutzharmmarionemre:lutzharmmarionemre,263,80,399,1130,13.3,0,8,49,1141,9.2,0,81,812,12425,7372,java=7345;xml=27,673,5,2548,0,2,2,4428,1,673,11
rigbertethelprasadclemens:rigbertethelprasadclemens,67,15,201,548,27.1,0,5,14,184,7.3,0,16,159,2507,1474,java=1455;xml=19,278,5,672,0,2,2.7,1210,1,278,10
ec.jrc.dcf:fdi,0,124,40,47,1.5,0,15,17,192,4.8,3,135,300,4041,3081,java=2743;xml=338,37,1,0,4,4,0.3,303,1,41,1
com.jfoenix:jfoenix-root,268,228,1220,2097,8.9,0,25,154,4350,14.1,0,157,1260,30902,21407,java=21407,1524,4,2220,0,2,5.6,35688,2,1524,36
org.epoxide.wumpus:Wumpus,4,33,57,29,3.1,0,14,0,0,0,0,33,117,1218,895,java=895,66,3,50,0,2,1.6,427,1,66,5
org.epoxide.annj:AnnJ,8,9,8,4,1.2,0,4,0,0,0,0,9,39,499,334,java=334,19,3,57,0,2,0.5,55,1,19,3
org.graphviz.erwinjanssen,5740,29,49898,31628,9.4,0,129,2115,62769,15.8,0,1287,4957,396521,303663,c=258722;cpp=22410;java=1044;js=292;objc=968;php=59;py=224;web=16971;xml=2973,56034,5,53050,0,4,3,270925,1,56034,396
br.gov.ma.sefaz.nfae:nfae,1038,465,2421,4081,9.3,0,40,1007,12806,22.3,0,404,4796,57510,39750,java=35344;js=3910;xml=496,3511,5,12112,0,4,2.4,28449,1,3511,52
mx.gob.imss.ctsm:tspi-sp-ejb,0,8,6,50,10.2,0,7,0,0,0,0,9,31,648,441,java=249;xml=192,6,1,0,0,1,0.4,55,1,6,0
com.rjs55:project_template,0,1,2,1,0.5,0,2,0,0,0,0,2,1,214,181,java=6;xml=175,2,1,0,0,1,0.7,40,1,2,0
com.softserve.if072:HomeGoodsTracker:rdyn,38,136,224,1362,12.2,0,27,12,225,1.5,0,156,1099,15019,9835,java=8358;js=696;xml=781,266,5,619,0,2,0.6,1664,1,266,4
com.softserve.if072:HomeGoodsTracker:develop,36,136,222,1362,12.2,0,27,12,225,1.5,0,156,1100,15002,9819,java=8362;js=696;xml=761,262,5,599,0,2,0.6,1632,1,262,4
com.ghusse.ci:violations-comments-to-bitbucket-cloud-lib,0,18,2,26,3,0,7,0,0,0,0,18,89,1096,829,java=731;xml=98,2,1,0,0,1,0,10,1,2,0
com.ltl:springboot-web-simple-example,0,4,0,1,0.6,0,3,0,0,0,0,5,6,209,167,java=69;xml=98,0,1,0,0,1,0,0,1,0,0
RobolectricSample,1,3,9,3,2.7,0,8,0,0,0,0,11,4,146,107,java=35;xml=72,10,3,15,0,1,28,900,4,10,0
org.sonarqube:example-ut-maven-jacoco,0,1,1,4,4.8,0,2,0,0,0,0,2,3,98,79,java=14;xml=65,1,1,0,0,1,0.4,10,1,1,0
com.github.klieber:phantomjs-maven,2,47,11,44,2.5,0,15,0,0,0,0,47,190,3409,1741,java=1533;xml=208,14,3,25,0,2,0.1,44,1,14,1
com.github.searls:jasmine-maven-plugin,29,53,43,282,8.9,0,15,0,0,0,0,54,289,4954,2890,java=2204;xml=686,77,5,440,0,2,1.7,1465,1,77,5
org.springframework:gs-rest-service,0,3,0,0,0,0,1,0,0,0,0,3,5,50,39,java=39,0,1,0,0,1,0,0,1,0,0
de.axeclbr.practice:Planets,0,6,3,4,2,0,4,0,0,0,0,7,22,260,195,java=146;xml=49,3,1,0,0,1,0.2,12,1,3,0
GradleJenkins,0,3,0,0,0,0,2,0,0,0,0,3,6,48,33,java=33,0,1,0,0,1,0,0,1,0,0
unnombre,0,3,2,0,0,0,2,0,0,0,0,3,6,49,33,java=33,2,1,0,0,1,1,10,1,2,0
capacitaciongradle,0,3,0,0,0,0,2,0,0,0,0,3,8,57,40,java=40,0,1,0,0,1,0,0,1,0,0
unnombre2,0,3,2,0,0,0,2,0,0,0,0,3,6,49,33,java=33,2,1,0,0,1,1,10,1,2,0
CapacitacionGradle,0,3,0,0,0,0,2,0,0,0,0,3,6,43,29,java=29,0,1,0,0,1,0,0,1,0,0
gradle,0,3,0,0,0,0,2,0,0,0,0,3,6,43,29,java=29,0,1,0,0,1,0,0,1,0,0
capacitacionGradle,0,3,0,0,0,0,2,0,0,0,0,3,6,45,33,java=33,0,1,0,0,1,0,0,1,0,0
edu.avans.ivh11b1:athena,2,33,49,85,6.5,0,8,0,0,0,0,34,147,1704,1219,java=1109;xml=110,51,2,20,0,1,0.6,219,1,51,0
com.DistributedCounter:DistributedCounter,2,20,6,115,15.1,0,6,0,0,0,0,21,74,1095,648,java=577;xml=71,8,3,10,0,1,0.2,34,1,8,0
android-telematics-core,47,118,302,1171,11.3,105,19,0,0,0,32,111,1386,14420,9150,java=9150,252,3,462,0,2,0.6,1657,1,357,8
