id,projectKey,bugs,classes,code_smells,comment_lines,comment_lines_density,confirmed_issues,directories,duplicated_blocks,duplicated_lines,duplicated_lines_density,false_positive_issues,files,functions,lines,ncloc_java,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,sqale_debt_ratio,sqale_index,sqale_rating,violations,vulnerabilities,total_issues,design_issues,squid:S3422,squid:S2975,squid:S2638,squid:S2221,squid:S2166,squid:S2157,squid:S2147,squid:S2134,squid:S2068,squid:S1696,squid:S1610,squid:S1609,squid:S1598,squid:S1226,squid:S1199,squid:S1193,squid:S1188,squid:S1182,squid:S1181,squid:S1166,squid:S1165,squid:S1163,squid:S1161,squid:S106,squid:S00107,squid:S00104,squid:MethodCyclomaticComplexity,squid:ClassVariableVisibilityCheck,squid:ClassCyclomaticComplexity,squid:S1695,squid:S1160,squid:S2059,squid:S2693,squid:S2438,squid:S1118,squid:S3398,squid:S2062,squid:S2077,squid:S2095,javascript:Eval,squid:ObjectFinalizeOverridenCheck,squid:RedundantThrowsDeclarationCheck,squid:S00112,squid:S1133,squid:S1148,squid:S1170,squid:S1185,squid:S1192,squid:S1194,squid:S1210,squid:S1214,squid:S1217,squid:S1220,squid:S1221,squid:S1301,squid:S1313,squid:S1444,squid:S1488,squid:S1848,squid:S1860,squid:S1862,squid:S1872,squid:S1873,squid:S2142,squid:S2236,squid:S2273,squid:S2276,squid:S2386,squid:S2696,squid:S2737,squid:S2885,squid:S2222,AVGsquid:S00104,AVGsquid:S00107,AVGsquid:S00112,AVGsquid:MethodCyclomaticComplexity,AVGsquid:ClassVariableVisibilityCheck,AVGsquid:ObjectFinalizeOverridenCheck,AVGsquid:S1118,AVGsquid:RedundantThrowsDeclarationCheck,AVGsquid:S1133,AVGsquid:S1160,AVGsquid:S1161,AVGsquid:S1165,AVGsquid:S1166,AVGsquid:S1182,AVGsquid:S1185,AVGsquid:S1188,AVGsquid:S1194,AVGsquid:S1199,AVGsquid:S1210,AVGsquid:S1217,AVGsquid:S1220,AVGsquid:S1221,AVGsquid:ClassCyclomaticComplexity,AVGsquid:S1444,AVGsquid:S1598,AVGsquid:S1609,AVGsquid:S1610,AVGsquid:S2059,AVGsquid:S2062,AVGsquid:S2134,AVGsquid:S2157,AVGsquid:S2166,AVGsquid:S2221,AVGsquid:S2222,AVGsquid:S2236,AVGsquid:S2273,AVGsquid:S2276,AVGsquid:S2386,AVGsquid:S2638,AVGsquid:S2693,AVGsquid:S2696,AVGsquid:S2885,AVGsquid:S2975,AVGsquid:S3398,AVGsquid:S3422,outliersquid:S00104,outliersquid:S00107,outliersquid:S00112,outliersquid:MethodCyclomaticComplexity,outliersquid:ClassVariableVisibilityCheck,outliersquid:ObjectFinalizeOverridenCheck,outliersquid:S1118,outliersquid:RedundantThrowsDeclarationCheck,outliersquid:S1133,outliersquid:S1160,outliersquid:S1161,outliersquid:S1165,outliersquid:S1166,outliersquid:S1182,outliersquid:S1185,outliersquid:S1188,outliersquid:S1194,outliersquid:S1199,outliersquid:S1210,outliersquid:S1217,outliersquid:S1220,outliersquid:S1221,outliersquid:ClassCyclomaticComplexity,outliersquid:S1444,outliersquid:S1598,outliersquid:S1609,outliersquid:S1610,outliersquid:S2059,outliersquid:S2062,outliersquid:S2134,outliersquid:S2157,outliersquid:S2166,outliersquid:S2221,outliersquid:S2222,outliersquid:S2236,outliersquid:S2273,outliersquid:S2276,outliersquid:S2386,outliersquid:S2638,outliersquid:S2693,outliersquid:S2696,outliersquid:S2885,outliersquid:S2975,outliersquid:S3398,outliersquid:S3422,inheritance,exception,vmsmell,interface,threading,complexity,ATDx
11,183sdjkhduy3aduq87af3q78t3ygjfat783qr,0,53,0,111,8.2,0,9,0,0,0,0,53,166,1997,1249,4,1,0,0,1,0,0,1,4,0,69,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1CRUD:app,0,5,25,5,1.2,0,5,0,0,0,0,13,22,511,288,25,1,0,0,1,7.5,924,2,25,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1f4a653284bfb4c1,19,81,5144,11332,30.3,0,425,97,15390,36.2,0,687,44,42456,5820,5311,3,85,0,2,1.8,13750,1,5311,148,5311,222,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,246.9135802,0,864.1975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.9135802,0,0,0,0,0,0,0,0,0,0,0,0,0,1333.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,0.238095238
14,2.5,1,51,143,56,3.8,0,9,0,0,0,0,52,159,2028,1309,155,3,10,0,5,2.3,954,1,155,11,155,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.527883881,0,0,0,117.6470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0.104166667
15,2018H4404_agile,35,47,335,615,13.1,0,9,48,650,10.2,0,47,340,5786,4036,409,3,190,0,2,2.9,3603,1,409,30,409,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,23,0,30,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,5.882352941,5.698711596,0,0,0,21.27659574,0.991080278,0,0,8.823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0.625,0,0.714285714,0,0,0.315806878
16,2345free_gs-tdd,0,10,7,193,49.1,0,3,0,0,0,0,11,22,627,200,7,1,0,0,1,0.2,14,1,7,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,23ivh11b2b:business2Business,6,32,12,14,1.4,0,13,0,0,0,19,33,85,1302,912,19,3,140,0,2,0.4,130,1,19,1,152,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,13,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588,0,0,0,0,62.5,0,0,0,0,0,3.289473684,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,1.428571429,0,0,0.342261905
18,2FB2B0F4-EA93-4FA7-AC54-273343A5590E-PIGEON,18,74,898,3724,14.3,0,49,29,320,1,0,113,1568,31724,2428,921,4,220,0,2,0.7,5001,1,921,5,921,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235584843,0,27.02702703,0,54.05405405,0,0.637755102,0,1.275510204,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,1.428571429,0,0.833333333,0.46957672
19,2huBrulee_wohomaAPP,0,27,206,34,1.2,0,11,14,165,4.6,0,45,164,3583,1773,213,1,0,0,2,4.4,3808,1,213,6,213,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.097560976,0,0,222.2222222,0,37.03703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,0.238095238
20,2R:oncom,9,13,30,118,16.2,0,6,0,0,0,0,14,41,990,515,51,5,85,0,2,1.8,329,1,51,10,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76.92307692,0,384.6153846,1.941747573,0,0,24.3902439,0,0,0,0,0,0,0,0,0,0,0,0,76.92307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0.714285714,0,0,0.211640212
